usuario_id,nombre_completo,email,telefono,edad,genero,pais,ciudad_envio,estado_cuenta,fecha_registro,n_pedidos,gasto_total,ticket_medio,pedidos_tarde,rating_medio,origen_dato
18,Jerónimo Terán,carrillofrancisca@example.org,+19(6)5569816934,,Otro,Colombia,Cartagena,Activo,2025-06-25,3.0,4843.33,1614.4433333333334,0.0,,regex
19,Aurora Pascual,menendezsofia@example.com,+34 901846564,67.0,Otro,Venezuela,Valencia,Activo,2023-12-07,4.0,5088.05,1272.0125,0.0,4.0,regex
20,Zoé Mascaró,maestasgonzalo@example.org,1-957-773-8721x4895,34.0,,Perú,Cusco,Activo,2025-10-23,0.0,0.0,,0.0,,regex
21,Hortensia Garza,amadorarteaga@example.org.,176.936.7632x0163,,Otro,Argentina,Córdoba,Activo,2025-10-08,1.0,785.55,785.55,0.0,,regex
22,Amador Carrión,marisoltamez@example.net,1-986-872-7743x487,49.0,M,Chile,Temuco,Activo,2024-03-06,0.0,0.0,,0.0,,regex
23,Leyre Gollum,indira81@example.org,+34 878 62 31 66,33.0,M,Venezuela,Caracas,Activo,2024-12-25,1.0,6744.5,6744.5,0.0,,regex
24,Anel Rivera,velasquezjuan@example.com,+34 926 466 889,64.0,F,España,Sevilla,Activo,2024-10-27,1.0,179.46,179.46,0.0,,regex
25,Marco Antonio Anaya,yolanda62@example.com,+34 987 069 901,26.0,Otro,Chile,Santiago,Inactivo,2023-10-06,3.0,3832.2999999999997,1277.4333333333332,0.0,,regex
26,Dulce Juan,eric75@example.com,641-708-0531,51.0,Otro,México,Tijuana,Inactivo,2025-08-14,3.0,11954.52,3984.84,0.0,5.0,regex
27,Heraclio Corominas,ainaracarbo@example.net,+34 975 45 29 91,62.0,M,Chile,La Serena,Activo,2026-04-02,2.0,6809.27,3404.635,0.0,,regex
28,Cristina Mesa,efarias@example.net,+34 826 49 19 05,,M,Chile,Concepción,Activo,2025-05-05,5.0,12611.74,2522.348,1.0,3.0,regex
29,Antonia Alcala,bcaraballo@example.com,1-262-849-8776x94531,32.0,M,México,Guadalajara,Activo,2026-01-01,1.0,2369.73,2369.73,0.0,4.0,regex
30,Maricela Vargas,alicia75@example.org,1-545-494-8083,,Otro,España,Valencia,Activo,2024-01-30,1.0,1124.94,1124.94,0.0,,regex
31,Minerva Tamayo,falfaro@example.com,+34 946 349 578,54.0,F,Perú,Chiclayo,Activo,2024-08-19,3.0,1278.99,426.33,2.0,1.0,regex
32,Jesús Juárez,esther13@example.com,+34 987 23 37 49,30.0,M,Venezuela,Barcelona,Activo,2026-04-19,3.0,4202.41,1400.8033333333333,1.0,,regex
33,Manu Paniagua,alberto82@example.com.,+34 807842710,21.0,Otro,Colombia,Bucaramanga,Activo,2024-10-06,2.0,358.69,179.345,0.0,3.0,regex
34,Jacinto Aznar,ecarrera@example.com,09022941318,30.0,Otro,México,Guadalajara,Inactivo,2025-03-05,0.0,0.0,,0.0,,regex
35,Maura Raya,rolando64@example.net.,+34825 33 41 23,46.0,,México,Monterrey,Activo,2025-01-04,2.0,12829.269999999999,6414.634999999999,0.0,,regex
36,Abilio Raya,alonso34@example.net,1-713-493-6183x24210,49.0,F,México,Puebla,Activo,2025-09-25,4.0,5983.78,1495.945,0.0,,regex
37,Marcela Solís,gjurado@example.net.,1-190-659-4013,42.0,M,España,Valencia,Inactivo,2025-01-31,2.0,2987.5699999999997,1493.7849999999999,0.0,,regex
38,Adoración Ledesma,ftellez@example.com,(551)256-7468x071,68.0,Otro,Perú,Lima,Inactivo,2024-02-11,2.0,5025.01,2512.505,0.0,,regex
39,María Teresa Serrano,dreyes@example.org.,770.348.2477x1093,,M,Chile,Temuco,Activo,2024-04-15,1.0,48.68,48.68,0.0,,regex
40,Carmina Cabán,serranodesiderio@example.net.,+34 981 484 677,50.0,M,México,Monterrey,Activo,2024-09-22,2.0,798.03,399.015,0.0,5.0,regex
41,Rodolfo Verdejo,llorentemaria-teresa@example.com,404-499-7278x7558,25.0,Otro,México,Puebla,Activo,2024-09-21,1.0,1125.39,1125.39,0.0,,regex
42,Elena Piñol,uarranz@example.net,1-662-702-8951x71870,55.0,,Colombia,Cartagena,Suspendido,2024-08-02,4.0,6740.6,1685.15,2.0,3.5,regex
43,Carlito Jaimes,vblanco@example.net,1-780-913-4316,33.0,F,Perú,Trujillo,Inactivo,2025-08-21,7.0,9552.55,1364.6499999999999,0.0,4.0,regex
44,Vicente Marí,moratanatividad@example.org,562.386.9222,18.0,F,Venezuela,Barquisimeto,Suspendido,2025-03-09,4.0,9646.43,2411.6075,0.0,3.5,regex
45,Silvano Valenciano,inigoizquierdo@example.com,074)821-7594,,M,España,Barcelona,Suspendido,2025-12-01,1.0,992.98,992.98,0.0,3.0,regex
46,Jordi Vázquez,gustavo06@example.com,+34 806 97 43 95,,,México,Monterrey,Activo,2025-04-07,2.0,1779.88,889.94,0.0,4.0,regex
47,Victoria Caballero,modesta70@example.net,214.562.3285x88424,,M,Perú,Lima,Activo,2026-04-05,2.0,6945.16,3472.58,1.0,3.0,regex
48,Ivonne Solís,mariselagonzalez@example.net,(516)048-1754x9651,36.0,,México,Mérida,Activo,2024-10-08,2.0,930.1700000000001,465.08500000000004,0.0,3.0,regex
49,Santiago Barroso,violeta61@example.org,+34 800 47 11 38,50.0,F,Venezuela,Barquisimeto,Activo,2024-07-09,0.0,0.0,,0.0,,regex
50,Yuridia Villagómez,fcabeza@example.net,053-773-5158,23.0,Otro,Venezuela,Barcelona,Inactivo,2023-07-16,2.0,732.27,366.135,0.0,5.0,regex
51,Elias Sanz,felisaalmazan@example.org,293.183.9335,39.0,,España,Bilbao,Activo,2025-09-21,2.0,2288.88,1144.44,0.0,5.0,regex
52,Leonel Castillo,blancaalvarez@example.org.,+34 927 395 024,,M,Chile,Concepción,Activo,2023-09-26,0.0,0.0,,0.0,,regex
53,Olivia Bartolomé,gnajera@example.net,+34 973 839 084,20.0,F,Colombia,Cartagena,Activo,2025-04-15,5.0,15010.769999999999,3002.1539999999995,0.0,,regex
54,Benjamín Padilla,salasmaria@example.org,+34920 92 12 49,,F,Venezuela,Maracaibo,Activo,2024-07-01,3.0,24918.129999999997,8306.043333333333,1.0,3.0,regex
55,María Elena Camacho,titosanmiguel@example.org,1-766-156-5452,57.0,Otro,Venezuela,Barquisimeto,Activo,2023-07-23,4.0,12370.83,3092.7075,0.0,4.666666666666667,regex
56,Ciro Caldera,pilarbalderas@example.net,165)604-9451,69.0,M,México,Ciudad de México,Inactivo,2025-11-24,3.0,787.23,262.41,1.0,3.0,regex
57,Pilar Carrero,luis-miguelvalentin@example.net.,+34884 024 455,73.0,Otro,Venezuela,Caracas,Activo,2023-11-25,1.0,12805.6,12805.6,1.0,,regex
58,Clarisa Barrios,bravomargarita@example.net.,+34 941675254,32.0,,Venezuela,Valencia,Inactivo,2025-09-08,3.0,1146.75,382.25,0.0,5.0,regex
59,Sol Cortés,bilbaolalo@example.com.,976.438.1561x497,30.0,F,España,Barcelona,Activo,2023-06-29,3.0,518.88,172.96,0.0,,regex
60,Rufino Aguilera,hector24@example.com,00762268388,59.0,,Argentina,Mendoza,Inactivo,2023-07-28,6.0,16142.86,2690.476666666667,2.0,3.0,regex
61,Tristán Segura,coral69@example.com,160)529-7516,55.0,,Argentina,Córdoba,Activo,2024-02-01,3.0,1344.1,448.0333333333333,1.0,1.0,regex
62,Ofelia Priego,estela52@example.org,+34986 835 523,50.0,M,Colombia,Cartagena,Inactivo,2023-10-18,3.0,4282.28,1427.4266666666665,0.0,4.5,regex
63,Fulgencio Benet,wsimo@example.net,995)527-1774,,,México,Guadalajara,Inactivo,2024-04-15,1.0,130.76,130.76,0.0,,regex
64,Alfonso Peinado,bustamantesessa@example.net,1-980-793-5978,,,Colombia,Bogotá,Suspendido,2025-10-15,1.0,267.22,267.22,0.0,,regex
65,Arturo Ariza,hsaavedra@example.net,+34 928 546 659,44.0,F,Argentina,Córdoba,Inactivo,2025-09-21,0.0,0.0,,0.0,,regex
66,Andrés Cabrera,flavio92@example.com,+34 844 546 291,,Otro,Perú,Trujillo,Activo,2025-01-12,0.0,0.0,,0.0,,regex
67,Carolina Roda,naranjohoracio@example.org,+34 924733221,37.0,,Venezuela,Caracas,Activo,2025-11-21,2.0,4669.26,2334.63,1.0,4.0,regex
68,Anunciación Navarro,kcorrea@example.org.,+34960653794,46.0,,Colombia,Bucaramanga,Activo,2024-01-22,3.0,5169.29,1723.0966666666666,0.0,3.0,regex
69,Martin Esquibel,xriojas@example.com.,862-392-4075,36.0,Otro,Perú,Chiclayo,Suspendido,2023-08-10,2.0,10273.289999999999,5136.6449999999995,1.0,2.0,regex
70,Leandro Serna,obravo@example.com.,+60(6)8536153051,27.0,M,México,Puebla,Activo,2025-09-24,2.0,1129.5900000000001,564.7950000000001,0.0,5.0,regex
71,Antonio Rodríquez,nsanabria@example.org.,+34 724328986,74.0,Otro,Colombia,Medellín,Suspendido,2025-09-07,0.0,0.0,,0.0,,regex
72,Marcial Asenjo,esebastian@example.org,808.932.4609x5396,59.0,Otro,México,Guadalajara,Activo,2025-05-08,0.0,0.0,,0.0,,regex
73,Azucena Barreto,csoriano@example.net,405.153.1952,,F,Venezuela,Caracas,Activo,2024-05-31,1.0,2041.54,2041.54,0.0,,regex
74,Trinidad Sobrino,celiabarajas@example.net.,+43(0)3054868740,,M,Venezuela,Maracaibo,Inactivo,2024-03-19,1.0,855.45,855.45,0.0,4.0,regex
75,Rosenda Laboy,ulises67@example.com.,775)841-6169,46.0,,Venezuela,Maracaibo,Inactivo,2024-12-28,0.0,0.0,,0.0,,regex
76,Benjamín Mosquera,marisela96@example.org,705.964.0165,49.0,Otro,Venezuela,Caracas,Activo,2026-03-20,1.0,4846.13,4846.13,0.0,4.0,regex
77,Reina Aragón,guzmanmelania@example.net,690.927.5571,39.0,F,México,Puebla,Suspendido,2024-12-11,2.0,804.52,402.26,1.0,,regex
78,Humberto Haro,estradaangelina@example.net,(144)739-4731x2172,63.0,M,Perú,Iquitos,Activo,2026-05-07,0.0,0.0,,0.0,,regex
79,Yeni Barragán,cristina25@example.net,+34833237058,31.0,F,Colombia,Bogotá,Inactivo,2024-10-04,1.0,1069.36,1069.36,0.0,3.0,regex
80,Emma Bastida,hroque@example.com,1-125-177-8528,19.0,,Chile,La Serena,Inactivo,2025-11-07,3.0,2706.76,902.2533333333334,1.0,1.0,regex
81,Marco Cáceres,javiersolano@example.com,+34881384249,35.0,,Colombia,Bogotá,Inactivo,2024-11-11,1.0,669.6,669.6,1.0,2.0,regex
82,Dora Donoso,anayaariadna@example.org,396-907-8447x36471,64.0,M,Venezuela,Barquisimeto,Inactivo,2023-10-31,3.0,2319.75,773.25,0.0,4.0,regex
83,Maximiliano Figueroa,humbertomatos@example.net,258-815-3714x732,19.0,,Chile,La Serena,Suspendido,2023-07-05,0.0,0.0,,0.0,,regex
84,Sergio Guzmán,crescencia53@example.org,774-701-6873x3950,73.0,F,Colombia,Bucaramanga,Activo,2024-03-14,3.0,6760.52,2253.5066666666667,0.0,3.0,regex
85,Gonzalo Campos,gabinonavarrete@example.com,+60(9)8358416878,39.0,F,Colombia,Barranquilla,Activo,2025-10-31,2.0,1135.85,567.925,0.0,,regex
86,Eduardo Prada,porfirio52@example.org,000-257-8729,34.0,M,Venezuela,Maracaibo,Inactivo,2023-11-05,0.0,0.0,,0.0,,regex
87,Rosalia Sarabia,martin05@example.com,+34 948 940 974,67.0,Otro,Perú,Chiclayo,Activo,2025-07-09,2.0,1772.5900000000001,886.2950000000001,0.0,4.0,regex
88,David Cordero,canetgraciano@example.org,1-626-368-9702,71.0,,México,Guadalajara,Suspendido,2025-01-14,3.0,3161.46,1053.82,1.0,3.6666666666666665,regex
89,Olivia Martínez,inoriega@example.com,733.484.3443x7575,31.0,F,España,Málaga,Activo,2024-03-21,3.0,7038.37,2346.1233333333334,1.0,4.0,regex
90,Leonardo Concepción,loeraarcelia@example.com,473-384-8421x99330,56.0,Otro,México,Guadalajara,Activo,2025-04-09,1.0,857.23,857.23,0.0,,regex
91,Cornelio Menéndez,chapaabigail@example.net,+34 946 77 34 54,24.0,Otro,México,Ciudad de México,Activo,2026-01-30,1.0,8230.4,8230.4,0.0,,regex
92,Florinda Arcos,cecheverria@example.com,(400)499-1547,42.0,,Chile,La Serena,Activo,2026-01-09,1.0,331.7,331.7,0.0,,regex
93,Renata Laboy,murofermin@example.net,420-549-3296x68516,67.0,F,España,Valencia,Suspendido,2023-11-29,1.0,197.47,197.47,0.0,,regex
94,Albina Guzmán,rodolfo37@example.com,(990)453-0174,,M,Venezuela,Barcelona,Activo,2024-07-28,5.0,13298.2,2659.6400000000003,0.0,,regex
95,Caridad Nazario,eliseotejera@example.org.,956.878.3391x87851,18.0,,Perú,Arequipa,Inactivo,2023-07-17,1.0,89.25,89.25,1.0,3.0,regex
96,Constanza Córdoba,rcarrion@example.org.,08707286790,,,México,Guadalajara,Activo,2025-05-17,4.0,3472.98,868.245,0.0,3.5,regex
97,Agustín Hernández,cristinabeltran@example.org,180.170.4622,55.0,F,Venezuela,Caracas,Activo,2024-06-24,2.0,1371.0700000000002,685.5350000000001,0.0,3.0,regex
98,Marisol Núñez,franciscaoliveras@example.org,+34987682300,35.0,F,Venezuela,Caracas,Activo,2024-09-29,2.0,2180.0,1090.0,0.0,,regex
99,Óscar Godínez,joliva@example.com.,+34 828069033,60.0,F,Chile,La Serena,Activo,2023-08-29,0.0,0.0,,0.0,,regex
100,Victoriano Hierro,orodenas@example.net,+34807 284 395,39.0,F,Argentina,La Plata,Suspendido,2024-01-25,2.0,3061.4,1530.7,0.0,,regex
101,Gertrudis Reyes,anel89@example.net.,+34949 87 05 68,23.0,,Chile,Antofagasta,Inactivo,2025-06-12,2.0,818.88,409.44,0.0,,regex
102,Conchita Ocampo,ohernando@example.com,+34 975 086 688,23.0,,Colombia,Cali,Activo,2024-07-09,0.0,0.0,,0.0,,regex
103,Emilia Berríos,aurelio83@example.org,990-139-8373,,,Chile,Temuco,Suspendido,2026-03-03,3.0,3834.85,1278.2833333333333,2.0,2.0,regex
104,Margarita Guerra,jheras@example.com,785-445-8771x753,34.0,,Argentina,La Plata,Activo,2024-04-17,3.0,6872.41,2290.8033333333333,0.0,,regex
105,Chus Coello,carolina99@example.net,(235)369-3785,,M,Chile,Valparaíso,Activo,2025-08-24,3.0,8510.1,2836.7000000000003,0.0,5.0,regex
106,Tomás Rincón,fortunato28@example.com,+34988 080 100,56.0,F,Venezuela,Caracas,Activo,2023-10-08,2.0,1169.58,584.79,1.0,3.0,regex
107,Borja Agullo,dperea@example.net,700)886-0084,41.0,M,Argentina,Córdoba,Activo,2023-09-05,4.0,6148.8099999999995,1537.2024999999999,0.0,,regex
108,Azucena Hernando,ofelia54@example.com.,+34936793341,,Otro,España,Sevilla,Activo,2023-08-21,1.0,179.35,179.35,0.0,4.0,regex
109,José María Badillo,celestinovalero@example.com.,1-180-339-7401x4890,48.0,F,Argentina,Córdoba,Activo,2026-02-21,3.0,3255.25,1085.0833333333333,0.0,4.0,regex
110,Adriana Cobos,lunadalia@example.net,+34 943 85 62 18,70.0,,Colombia,Cali,Inactivo,2023-07-08,3.0,14495.91,4831.97,0.0,,regex
111,Esther Niño,alta-gracia47@example.com,+34926866296,,Otro,México,Guadalajara,Activo,2025-09-03,0.0,0.0,,0.0,,regex
112,Fernando Blanca,juancorrales@example.net.,1-511-047-5412,56.0,Otro,Venezuela,Valencia,Suspendido,2023-12-02,0.0,0.0,,0.0,,regex
113,Porfirio Candelaria,oterocasandra@example.org,046-618-3982x622,45.0,,Argentina,La Plata,Suspendido,2024-04-05,1.0,4466.94,4466.94,0.0,5.0,regex
114,Clemente Diego,lucia47@example.org,379-937-1240,58.0,M,Venezuela,Maracaibo,Activo,2024-05-09,2.0,678.8299999999999,339.41499999999996,1.0,2.0,regex
115,Isaac Mesa,helenamayorga@example.net,+34977526547,28.0,M,Chile,Valparaíso,Inactivo,2024-05-02,3.0,3365.35,1121.7833333333333,0.0,,regex
116,Laura Carrera,isabelamores@example.net,1-374-167-2434,63.0,F,México,Monterrey,Inactivo,2025-02-07,3.0,22227.36,7409.12,2.0,2.0,regex
117,Pamela Palomares,hurtadogema@example.net,(909)656-1014,55.0,,Venezuela,Valencia,Activo,2024-11-20,1.0,4868.94,4868.94,0.0,,regex
118,Victor Manuel Ornelas,jaimealvarado@example.com,+34 900 61 12 54,22.0,M,Argentina,Mendoza,Activo,2024-09-21,1.0,50.52,50.52,0.0,,regex
119,Azahar Montero,quezadamaria-cristina@example.com,+34 901010512,70.0,,Chile,Concepción,Activo,2024-11-26,2.0,3799.6099999999997,1899.8049999999998,0.0,,regex
120,Natalio Ríos,lespinosa@example.net,093-796-6033x419,50.0,,Colombia,Bogotá,Inactivo,2025-10-03,4.0,2415.45,603.8625,1.0,,regex
121,Pío Estrada,iglesiasyuridia@example.com.,696.915.5792x4991,,M,Argentina,Rosario,Activo,2024-04-18,2.0,1390.98,695.49,0.0,4.0,regex
122,Marcos España,nayelioquendo@example.com,+34 942 62 78 28,,Otro,Chile,La Serena,Activo,2024-10-28,1.0,1001.92,1001.92,0.0,,regex
123,Glauco Raya,agapito72@example.org,876)767-7219,35.0,M,Perú,Trujillo,Suspendido,2024-01-12,3.0,9684.01,3228.0033333333336,0.0,5.0,regex
124,Darío Valles,vegacamila@example.com,(078)361-3407x4517,38.0,Otro,Colombia,Barranquilla,Activo,2025-09-07,0.0,0.0,,0.0,,regex
125,Hugo Porras,milagrosgabaldon@example.org.,+34925 84 98 25,,F,Argentina,Tucumán,Activo,2024-03-23,2.0,1448.26,724.13,0.0,4.0,regex
126,Noelia Cerdá,lebronvanesa@example.org.,+34881 253 672,,F,España,Sevilla,Activo,2025-03-29,0.0,0.0,,0.0,,regex
127,María Cristina Buendía,jose-carlos77@example.com,+34824 75 18 63,30.0,Otro,Colombia,Bucaramanga,Activo,2025-10-31,4.0,6413.88,1603.47,0.0,5.0,regex
128,Gabriel Limón,raulrubio@example.com.,+34803 17 01 27,53.0,M,México,Puebla,Activo,2023-05-11,4.0,9336.689999999999,2334.1724999999997,0.0,3.0,regex
129,Eloy Matas,ciro54@example.org,(206)436-1103x71293,69.0,M,Perú,Arequipa,Activo,2023-05-21,1.0,519.26,519.26,0.0,,regex
130,Carla Centeno,gironjuan-carlos@example.org,+34826 554 262,71.0,M,España,Barcelona,Inactivo,2023-07-24,1.0,203.2,203.2,0.0,,regex
131,Emilia Sacristán,soledadcoronado@example.com.,1-112-196-5652,49.0,Otro,Perú,Arequipa,Activo,2024-03-09,0.0,0.0,,0.0,,regex
132,Jose Ramón Amador,normazepeda@example.net,+34943 40 37 61,,F,Colombia,Bogotá,Suspendido,2024-11-08,2.0,3797.9300000000003,1898.9650000000001,0.0,,regex
133,Belén Paniagua,juliavarela@example.com,271)091-0430,,M,Chile,Valparaíso,Activo,2024-08-17,2.0,7413.389999999999,3706.6949999999997,1.0,4.0,regex
134,Armando Lobato,cayetano83@example.org,914-630-3161x799,36.0,Otro,Argentina,Buenos Aires,Activo,2024-04-13,1.0,989.6,989.6,1.0,4.0,regex
135,Dimas Cervantes,anabeloliver@example.net,(524)105-6481,,M,Chile,Valparaíso,Inactivo,2025-06-29,0.0,0.0,,0.0,,regex
136,Anabel Segura,sanabriaraquel@example.org,(419)138-0003,42.0,F,Venezuela,Valencia,Activo,2024-10-09,3.0,6446.6900000000005,2148.896666666667,1.0,,regex
137,Conchita Aranda,inesguzman@example.com,195-180-2380,54.0,F,Perú,Iquitos,Activo,2023-07-25,2.0,3172.8900000000003,1586.4450000000002,0.0,2.0,regex
138,Guillermina Menchaca,xaguilo@example.org,1-493-759-7383x2060,38.0,,Colombia,Barranquilla,Inactivo,2024-12-24,2.0,6908.18,3454.09,0.0,2.0,regex
139,Nico Peñalver,florezolga@example.org.,024.103.8657x191,26.0,Otro,Colombia,Bucaramanga,Suspendido,2025-04-08,1.0,523.53,523.53,0.0,,regex
140,Antonio Royo,lupejulian@example.com,1-557-431-3291x21277,51.0,,Colombia,Barranquilla,Activo,2024-07-29,1.0,1539.38,1539.38,1.0,2.0,regex
141,Emilio Manzanares,carla12@example.net,1-903-521-3568x04420,68.0,F,España,Barcelona,Activo,2025-12-02,1.0,684.9,684.9,0.0,,regex
142,Ciríaco Canales,alberobernabe@example.org,+34872651994,72.0,,Venezuela,Barcelona,Suspendido,2023-06-03,3.0,2556.94,852.3133333333334,1.0,1.0,regex
143,Hector Cazares,donato07@example.org,+34956 70 66 25,73.0,,Venezuela,Caracas,Activo,2026-01-30,1.0,135.4,135.4,0.0,,regex
144,Gilberto Córdova,flormarquez@example.com,(701)462-6383x8065,65.0,M,Argentina,Rosario,Inactivo,2024-12-27,2.0,365.19,182.595,0.0,5.0,regex
145,Jaime Oquendo,aldonzamatos@example.net,+34 744 078 593,63.0,M,Venezuela,Maracaibo,Inactivo,2023-08-28,5.0,5709.16,1141.8319999999999,1.0,2.5,regex
146,Juan Pablo Gimenez,debora23@example.net,590.599.2937x84270,,M,España,Madrid,Activo,2023-07-11,2.0,17684.78,8842.39,0.0,4.0,regex
147,Alex Abrego,catalinamolina@example.net,+34 921002921,,M,Colombia,Bucaramanga,Activo,2026-03-28,2.0,1297.08,648.54,1.0,2.0,regex
148,Wilfrido Villa,marciano52@example.org,752-895-3926,49.0,Otro,Perú,Iquitos,Activo,2025-11-28,1.0,335.45,335.45,0.0,,regex
149,Germán García,vchico@example.net,+34879 552 157,75.0,F,Perú,Arequipa,Activo,2024-02-25,3.0,7806.39,2602.13,0.0,5.0,regex
150,Jimena Ordóñez,abreuamanda@example.com,626.765.8617,37.0,Otro,Argentina,Tucumán,Inactivo,2024-03-29,1.0,3774.03,3774.03,0.0,,regex
151,Francisca Benavent,jose-manuelcruz@example.net,+34824 59 97 06,24.0,,Colombia,Barranquilla,Inactivo,2025-03-06,5.0,6729.9,1345.98,0.0,2.5,regex
152,Cristina Cadenas,eliasparra@example.net,(443)106-9872x05061,43.0,,España,Sevilla,Activo,2025-10-29,1.0,1366.62,1366.62,0.0,5.0,regex
153,Elvira Amigó,feliciamanzanares@example.org,04677418625,49.0,,Chile,Santiago,Activo,2024-06-18,2.0,4380.49,2190.245,0.0,2.0,regex
154,Alvaro Quiñónez,espartaco49@example.org,+34825 158 693,34.0,,México,Tijuana,Activo,2025-11-17,4.0,2733.62,683.405,1.0,4.0,regex
155,Omar Vega,fmartinez@example.com,+34981989921,41.0,,España,Valencia,Activo,2023-11-16,3.0,3099.94,1033.3133333333333,0.0,5.0,regex
156,Héctor Cases,rbermudez@example.com,+34 845945116,30.0,M,Colombia,Bogotá,Suspendido,2025-01-05,4.0,16017.42,4004.355,0.0,4.0,regex
157,Nicolás Alcala,pedrozaconchita@example.org,+34 827 914 856,50.0,,Argentina,Mendoza,Activo,2024-07-03,1.0,577.21,577.21,0.0,,regex
158,Reina Archuleta,samuel29@example.net,+65(3)0745054447,47.0,M,Venezuela,Barquisimeto,Activo,2026-04-10,1.0,3075.37,3075.37,0.0,,regex
159,Eloy Quintero,lorena91@example.org,1-678-508-2148,64.0,Otro,México,Tijuana,Inactivo,2023-10-06,3.0,5325.34,1775.1133333333335,0.0,,regex
160,Fulgencio Font,anacletosastre@example.org,1-345-786-1035,41.0,M,Venezuela,Barquisimeto,Inactivo,2024-05-22,1.0,160.68,160.68,0.0,,regex
161,Aurora Amaya,curielreina@example.org,+34 877 34 68 00,61.0,F,Perú,Chiclayo,Suspendido,2026-02-03,1.0,2020.86,2020.86,0.0,3.0,regex
162,Eliana Goicoechea,trinidad46@example.com,1-437-489-6910x858,48.0,M,Perú,Cusco,Suspendido,2024-04-02,3.0,4297.59,1432.53,1.0,1.0,regex
163,Alma Navarrete,geronimo44@example.org,+34 984309652,57.0,,Chile,La Serena,Activo,2025-04-28,1.0,1168.52,1168.52,0.0,4.0,regex
164,Francisco Javier Palacios,vergarareina@example.org,387.584.2824x17248,25.0,M,Perú,Arequipa,Activo,2026-03-13,0.0,0.0,,0.0,,regex
165,Vanesa Girón,homeroperes@example.com,947-170-9991,25.0,M,Argentina,Córdoba,Activo,2026-01-09,3.0,4352.41,1450.8033333333333,1.0,5.0,regex
166,Rufina Tamayo,jayala@example.org,+34 924 69 72 52,47.0,F,México,Monterrey,Suspendido,2024-10-26,4.0,12629.26,3157.315,2.0,2.5,regex
167,Matías Acuña,enrique29@example.org,02966667600,71.0,,Perú,Trujillo,Suspendido,2025-07-19,1.0,155.07,155.07,1.0,4.0,regex
168,Tecla Tamez,acostaeugenia@example.net,+34877 542 168,33.0,F,Colombia,Bogotá,Activo,2023-11-10,2.0,4013.1,2006.55,0.0,,regex
169,Marc Reséndez,vcervantes@example.com,1-260-332-3098,75.0,Otro,Argentina,La Plata,Activo,2023-09-22,2.0,2120.98,1060.49,0.0,,regex
